market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,3d,score_intensity,Zero,100,0.289538,0.200421,58.0,-0.688663,-7.77124,1.96666,0.147223,0.242886,0.046652,0.270377,0.78687
sp500,S&P 500,3d,score_intensity,Caution,120,0.147713,0.14097,55.0,-0.787625,-6.632013,1.703272,0.086723,0.242886,-0.095173,-0.677823,0.497884
sp500,S&P 500,3d,score_intensity,Extreme Negative,38,0.331927,0.474534,60.526316,-0.601612,-2.99688,1.580423,0.210024,0.242886,0.089041,0.354382,0.723052
sp500,S&P 500,3d,score_intensity,Mild Negative,64,0.130655,0.149215,57.8125,-0.711426,-4.035003,1.479725,0.088297,0.242886,-0.112231,-0.617542,0.536878
sp500,S&P 500,3d,score_intensity,Mild Positive,102,0.208678,0.389098,57.843137,-0.988412,-11.98405,2.519105,0.082838,0.242886,-0.034208,-0.167121,0.867275
sp500,S&P 500,3d,score_intensity,Risk-On,6,2.771317,2.601401,100.0,-0.157777,-0.946665,1.653135,1.676401,0.242886,2.528431,3.762529,0.000168
sp500,S&P 500,3d,score_intensity,Extreme Positive,4,-0.038763,-0.078129,50.0,-1.521104,-2.502962,2.445294,-0.015852,0.242886,-0.281649,-0.231809,0.816687
sp500,S&P 500,1w,regime,Mixed,266,0.21644,0.316232,56.766917,-1.235192,-16.543364,2.720863,0.079548,0.27482,-0.058381,-0.631894,0.527456
sp500,S&P 500,1w,regime,Caution,158,0.252723,0.49202,58.860759,-1.089764,-11.490675,2.146624,0.11773,0.27482,-0.022098,-0.146471,0.883549
sp500,S&P 500,1w,regime,Risk-On,10,2.176891,2.02804,80.0,-0.732343,-2.795316,2.562903,0.849385,0.27482,1.90207,2.37533,0.017533
sp500,S&P 500,1w,score_sign,Zero,100,0.38362,0.507437,58.0,-1.109489,-16.543364,2.524445,0.151962,0.27482,0.1088,0.490569,0.623731
sp500,S&P 500,1w,score_sign,Negative,222,0.149322,0.252607,59.009009,-1.10455,-11.490675,2.175877,0.068626,0.27482,-0.125499,-1.049226,0.294074
sp500,S&P 500,1w,score_sign,Positive,112,0.426434,0.496413,56.25,-1.356324,-14.979602,3.143819,0.135642,0.27482,0.151614,0.632112,0.527313
sp500,S&P 500,1w,score_intensity,Zero,100,0.38362,0.507437,58.0,-1.109489,-16.543364,2.524445,0.151962,0.27482,0.1088,0.490569,0.623731
sp500,S&P 500,1w,score_intensity,Caution,120,0.110809,0.28001,56.666667,-1.171399,-11.490675,2.288422,0.048421,0.27482,-0.164012,-0.885376,0.375954
sp500,S&P 500,1w,score_intensity,Extreme Negative,38,0.700873,0.77253,65.789474,-0.831968,-3.320405,1.561521,0.44884,0.27482,0.426052,1.637368,0.101554
sp500,S&P 500,1w,score_intensity,Mild Negative,64,-0.10595,0.122223,59.375,-1.141053,-9.081983,2.243142,-0.047233,0.27482,-0.380771,-1.437083,0.150695
sp500,S&P 500,1w,score_intensity,Mild Positive,102,0.254821,0.416277,53.921569,-1.417499,-14.979602,3.15337,0.080809,0.27482,-0.02,-0.077548,0.938188
sp500,S&P 500,1w,score_intensity,Risk-On,6,2.907717,2.729583,100.0,-0.157777,-0.946665,2.361083,1.231518,0.27482,2.632896,2.747919,0.005997
sp500,S&P 500,1w,score_intensity,Extreme Positive,4,1.080652,0.810042,50.0,-1.594192,-2.795316,2.78275,0.388339,0.27482,0.805831,0.582307,0.56036
sp500,S&P 500,2w,regime,Mixed,265,0.433745,0.72499,63.018868,-1.946543,-22.455145,3.591723,0.120762,0.543225,-0.10948,-0.886176,0.375523
sp500,S&P 500,2w,regime,Caution,158,0.548807,1.022313,62.658228,-1.692985,-12.601179,2.90558,0.18888,0.543225,0.005582,0.027687,0.977912
sp500,S&P 500,2w,regime,Risk-On,10,3.356248,3.367738,90.0,-0.935227,-2.795316,2.965876,1.131621,0.543225,2.813023,3.024961,0.002487
sp500,S&P 500,2w,score_sign,Zero,99,0.196682,0.78306,64.646465,-2.098797,-22.455145,4.332757,0.045394,0.543225,-0.346543,-0.964571,0.33476
sp500,S&P 500,2w,score_sign,Negative,222,0.457799,0.801422,60.36036,-1.695669,-12.601179,2.756,0.16611,0.543225,-0.085426,-0.536738,0.591448
sp500,S&P 500,2w,score_sign,Positive,112,1.01887,1.073717,68.75,-1.861236,-17.470177,3.468607,0.29374,0.543225,0.475645,1.704322,0.088321
sp500,S&P 500,2w,score_intensity,Zero,99,0.196682,0.78306,64.646465,-2.098797,-22.455145,4.332757,0.045394,0.543225,-0.346543,-0.964571,0.33476
sp500,S&P 500,2w,score_intensity,Caution,120,0.282872,0.926223,59.166667,-1.851378,-12.601179,3.013708,0.093862,0.543225,-0.260353,-1.063906,0.287371
