dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,S&P 500,1w,486,0.01599344611029767,0.05428340623553617,0.01753327200780698,0.3419216206954979,0.7324098782493005,486,146,146,0.24842727865846323,0.22904940467735443,0.019377873981108795,62.328767123287676,61.64383561643836,-1.5055119976950107,-1.0484773946197274,0.05428340623553617,0.019377873981108795,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,S&P 500,4w,483,0.05136451030087345,0.08123427422953441,0.1094873584089025,0.6754492802152093,0.49939036506889056,483,145,145,1.344485605901575,0.42968434247070114,0.914801263430874,69.6551724137931,64.82758620689654,-3.0902987585773363,-2.953702965363651,0.08123427422953441,0.914801263430874,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,S&P 500,13w,474,0.0704202309910357,0.08266156600321423,0.24616278167076464,0.5534744152948085,0.5799385950917592,474,142,142,4.256123482704594,2.0950437288426658,2.1610797538619284,74.64788732394366,70.4225352112676,-5.091372144506006,-6.619396775994269,0.08266156600321423,2.1610797538619284,weak/mixed
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,S&P 500,26w,461,-0.043136529387212734,-0.04465411039022282,-0.1955947813405404,-0.26047057437672066,0.7945008103923439,461,139,139,7.316123417650618,8.350078291881237,-1.033954874230619,74.82014388489209,83.45323741007195,-6.67428356828904,-8.444417797353715,0.04465411039022282,1.033954874230619,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,NASDAQ-100,1w,486,0.021663090736714165,0.05201890361045578,0.031147361235555067,0.4820942680953104,0.6297389814953575,486,146,146,0.41898481568907286,0.4134906816024826,0.005494134086590274,61.64383561643836,58.21917808219178,-1.8545734292661482,-1.38434874664465,0.05201890361045578,0.005494134086590274,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,NASDAQ-100,4w,483,0.06104006738929629,0.09525208198391409,0.16435677021751827,0.7860035823847205,0.43186538839632016,483,145,145,2.0619678280264844,0.9201494697396001,1.1418183582868844,68.96551724137932,62.06896551724138,-3.7107233065578007,-3.600769377418296,0.09525208198391409,1.1418183582868844,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,NASDAQ-100,13w,474,0.08865738776670004,0.1148592974662417,0.4150643118475442,0.6547029676621039,0.5126590141870008,474,142,142,6.58841592581961,3.508348389320584,3.0800675364990258,74.64788732394366,66.90140845070422,-6.0222938016458105,-7.298512944098765,0.1148592974662417,3.0800675364990258,weak/mixed
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,NASDAQ-100,26w,461,0.021259253751686427,0.02339548596268393,0.13339652126011667,0.1374543731108174,0.8906716553289772,461,139,139,11.56851177379946,11.860220679145177,-0.29170890534571825,71.22302158273382,92.80575539568345,-7.634086072067946,-9.254087008852268,0.02339548596268393,0.29170890534571825,none
tff,TFF Detailed,Dealer / Intermediary,dealer,flow1_z,S&P 500,1w,485,-0.008701517024726211,0.03749154567648788,-0.010593153640132552,-0.19768084298740093,0.8432947790160774,485,146,146,0.29408706060656403,0.10508204398374543,0.1890050166228186,60.95890410958904,56.16438356164384,-1.255967322656618,-1.1906665090313615,0.03749154567648788,0.1890050166228186,none
tff,TFF Detailed,Dealer / Intermediary,dealer,flow1_z,S&P 500,4w,482,-0.03602898236657656,-4.313282321581078e-05,-0.0854918772258277,-0.8195817663395111,0.41245457165239185,482,145,145,0.8755762522475828,0.8933495046580349,-0.017773252410452023,68.96551724137932,67.58620689655173,-2.989396254394209,-2.7646733486320043,4.313282321581078e-05,0.017773252410452023,none
