dataset,player,date,risk_net_bn,risk_net_z,risk_trend13_bn,risk_trend13_z,risk_trend26_bn,risk_trend26_z
tff,Dealer / Intermediary,2026-09-22,-281.35472655,-1.9410223770963908,8.13622132879999,0.5487572394375497,-51.729383911920024,-0.9174824788345299
tff,Asset Manager / Institutional,2026-09-22,409.481386688,2.166735868829654,5.138669840799992,-0.1294350915386197,96.05403756715998,1.6100807956762748
tff,Leveraged Funds,2026-09-22,-167.537281922,-2.1878320897382055,3.7311543412000105,0.31430775612855705,-36.16231457202002,-1.0605620068869808
tff,Other Reportables,2026-09-22,-6.866647146,-0.3722701405609284,-11.1683402298,-1.0733693781499307,-25.49893689874,-2.0972642737502363
tff,Non-reportable,2026-09-22,46.277657162,2.2083094119379845,-5.836361830600005,-0.8131120805363472,17.33683381704,1.5294734798051055
legacy,Noncommercial,2026-09-22,-18.983435128,-0.7154930399359943,1.1081017487999993,0.09783646049769137,3.8922231525599997,0.31190237381305747
legacy,Commercial,2026-09-22,-27.293219154,-1.2204144657359168,4.729631234800003,0.24927920018230948,-21.2280540896,-0.8388602322558898
legacy,Nonreportable,2026-09-22,46.277657162,2.2083094119379845,-5.836361830600005,-0.8131120805363472,17.33683381704,1.5294734798051055
