dataset,dataset_label,player,player_key,target,horizon,winner,combined_source_label,combined_better_side,combined_side_edge_pp,combined_abs_side_edge_pp,combined_hac_p,combined_evidence,best_single_source,best_single_source_label,best_single_better_side,best_single_side_edge_pp,best_single_abs_side_edge_pp,best_single_hac_p,best_single_evidence,combined_minus_best_single_abs_edge_pp,combined_positive_avg_return,combined_negative_avg_return,best_single_positive_avg_return,best_single_negative_avg_return,winner_rank,strongest_abs_edge_pp
tff,TFF Detailed,Other Reportables,other_reportable,NASDAQ-100,26w,single,Combined SP+NQ-VIX,positive,1.1065494096066786,1.1065494096066786,0.7592263700067801,none,nq,NASDAQ-100 only,negative,-2.182425148518865,2.182425148518865,0.4859574171594856,weak/mixed,-1.0758757389121865,11.214654995228353,10.108105585621674,8.787549605317514,10.969974753836379,1,2.182425148518865
legacy,Legacy,Noncommercial,noncommercial,S&P 500,13w,single,Combined SP+NQ-VIX,negative,-1.772410419093462,1.772410419093462,0.17491083492234655,weak/mixed,sp500,S&P 500 only,negative,-2.13091764062874,2.13091764062874,0.1087148910627456,weak/mixed,-0.35850722153527803,2.72637101701887,4.498781436112332,2.3969420250764037,4.527859665705144,1,2.13091764062874
tff,TFF Detailed,Other Reportables,other_reportable,S&P 500,26w,single,Combined SP+NQ-VIX,positive,1.3378131133765034,1.3378131133765034,0.6244643224711363,none,sp500,S&P 500 only,positive,1.6834931499519632,1.6834931499519632,0.5030170779732723,weak/mixed,-0.34568003657545976,7.957367894234627,6.619554780858124,8.259223962897378,6.575730812945415,1,1.6834931499519632
legacy,Legacy,Nonreportable,nonreportable,NASDAQ-100,4w,single,Combined SP+NQ-VIX,negative,-0.6348685616781953,0.6348685616781953,0.4080245302679283,none,sp500,S&P 500 only,negative,-1.2037631864382512,1.2037631864382512,0.10068641145869955,weak/mixed,-0.5688946247600559,1.366368849231028,2.0012374109092232,1.2103037869004052,2.4140669733386564,1,1.2037631864382512
tff,TFF Detailed,Non-reportable,non_reportable,NASDAQ-100,4w,single,Combined SP+NQ-VIX,negative,-0.6348685616781953,0.6348685616781953,0.4080245302679283,none,sp500,S&P 500 only,negative,-1.2037631864382512,1.2037631864382512,0.10068641145869955,weak/mixed,-0.5688946247600559,1.366368849231028,2.0012374109092232,1.2103037869004052,2.4140669733386564,1,1.2037631864382512
legacy,Legacy,Commercial,commercial,S&P 500,4w,single,Combined SP+NQ-VIX,positive,0.6215292530491529,0.6215292530491529,0.29970104634126354,none,sp500,S&P 500 only,positive,0.9503047981045398,0.9503047981045398,0.07377671296138177,weak/mixed,-0.328775545055387,1.52356143648652,0.9020321834373671,1.6562869030413387,0.7059821049367989,1,0.9503047981045398
legacy,Legacy,Nonreportable,nonreportable,S&P 500,4w,single,Combined SP+NQ-VIX,negative,-0.4305826890558552,0.4305826890558552,0.4701844142906717,none,sp500,S&P 500 only,negative,-0.896929705892254,0.896929705892254,0.11923529564541129,weak/mixed,-0.4663470168363988,0.9304972654531131,1.3610799545089682,0.8003768632940605,1.6973065691863145,1,0.896929705892254
tff,TFF Detailed,Non-reportable,non_reportable,S&P 500,4w,single,Combined SP+NQ-VIX,negative,-0.4305826890558552,0.4305826890558552,0.4701844142906717,none,sp500,S&P 500 only,negative,-0.896929705892254,0.896929705892254,0.11923529564541129,weak/mixed,-0.4663470168363988,0.9304972654531131,1.3610799545089682,0.8003768632940605,1.6973065691863145,1,0.896929705892254
tff,TFF Detailed,Other Reportables,other_reportable,NASDAQ-100,1w,single,Combined SP+NQ-VIX,positive,0.033335216315222016,0.033335216315222016,0.9082902751156389,none,vix_inverse,"VIX only, inverted",negative,-0.4580373807500578,0.4580373807500578,0.128057498728843,weak/mixed,-0.42470216443483577,0.4233708547514056,0.3900356384361836,0.020292059325113663,0.4783294400751715,1,0.4580373807500578
tff,TFF Detailed,Other Reportables,other_reportable,S&P 500,1w,single,Combined SP+NQ-VIX,positive,0.021965447366902924,0.021965447366902924,0.9178765583006012,none,vix_inverse,"VIX only, inverted",negative,-0.3037482266139445,0.3037482266139445,0.15194221485607784,weak/mixed,-0.2817827792470416,0.2829898318582494,0.26102438449134646,0.015797645531503177,0.3195458721454477,1,0.3037482266139445
tff,TFF Detailed,Leveraged Funds,lev_money,S&P 500,4w,tie,Combined SP+NQ-VIX,negative,-1.295757256111858,1.295757256111858,0.40278902418994667,none,sp500,S&P 500 only,positive,1.1288362024337333,1.1288362024337333,0.42866771311904905,none,0.1669210536781247,-0.14973590295240347,1.1460213531594545,2.1573571829562175,1.0285209805224842,2,1.295757256111858
legacy,Legacy,Commercial,commercial,NASDAQ-100,4w,tie,Combined SP+NQ-VIX,positive,1.1325617646295125,1.1325617646295125,0.1556433610095322,weak/mixed,sp500,S&P 500 only,positive,1.0933790342969927,1.0933790342969927,0.11392464298097288,weak/mixed,0.039182730332519844,2.398267081764523,1.2657053171350103,2.24687227997207,1.1534932456750775,2,1.1325617646295125
tff,TFF Detailed,Other Reportables,other_reportable,S&P 500,13w,tie,Combined SP+NQ-VIX,positive,1.0213756278127728,1.0213756278127728,0.5572749422640871,none,sp500,S&P 500 only,positive,0.8939328356442533,0.8939328356442533,0.5650134037234749,none,0.1274427921685195,4.235441325356411,3.214065697543638,4.147105433325766,3.253172597681513,2,1.0213756278127728
tff,TFF Detailed,Other Reportables,other_reportable,NASDAQ-100,13w,tie,Combined SP+NQ-VIX,positive,0.9026924556942699,0.9026924556942699,0.7093214988555647,none,sp500,S&P 500 only,positive,0.8328075837762405,0.8328075837762405,0.7112544663079595,none,0.06988487191802939,5.816973125183902,4.914280669489632,5.773101127058736,4.940293543282495,2,0.9026924556942699
legacy,Legacy,Noncommercial,noncommercial,S&P 500,4w,tie,Combined SP+NQ-VIX,negative,-0.7765737504101208,0.7765737504101208,0.15467578387008094,weak/mixed,sp500,S&P 500 only,negative,-0.8027948335840225,0.8027948335840225,0.14146153903845277,weak/mixed,-0.026221083173901705,0.753771254790777,1.5303450052008978,0.6754155176312422,1.4782103512152647,2,0.8027948335840225
legacy,Legacy,Commercial,commercial,NASDAQ-100,1w,tie,Combined SP+NQ-VIX,positive,0.2731766647744181,0.2731766647744181,0.30195725401350904,none,sp500,S&P 500 only,positive,0.3564466649073553,0.3564466649073553,0.13903789803126657,weak/mixed,-0.08327000013293723,0.5967124967238053,0.32353583194938723,0.6170078291125627,0.26056116420520736,2,0.3564466649073553
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,1w,tie,Combined SP+NQ-VIX,negative,-0.2880137071484303,0.2880137071484303,0.21541051172292552,none,sp500,S&P 500 only,negative,-0.28077919182395417,0.28077919182395417,0.22333364303604028,none,0.0072345153244761096,0.2787678377454534,0.5667815448938837,0.25821618831273696,0.5389953801366911,2,0.2880137071484303
legacy,Legacy,Noncommercial,noncommercial,S&P 500,1w,tie,Combined SP+NQ-VIX,negative,-0.21106614389916892,0.21106614389916892,0.23547803777849247,none,sp500,S&P 500 only,negative,-0.2816256706512151,0.2816256706512151,0.11781776143205441,weak/mixed,-0.07055952675204616,0.1789468044917399,0.39001294839090883,0.12630842350196925,0.4079340941531843,2,0.2816256706512151
legacy,Legacy,Commercial,commercial,S&P 500,1w,tie,Combined SP+NQ-VIX,positive,0.17327427990206848,0.17327427990206848,0.3966332676417419,none,sp500,S&P 500 only,positive,0.26326003694685607,0.26326003694685607,0.15287184323079572,weak/mixed,-0.08998575704478759,0.39229714997279613,0.21902287007072765,0.4280803054808008,0.1648202685339447,2,0.26326003694685607
legacy,Legacy,Nonreportable,nonreportable,NASDAQ-100,1w,tie,Combined SP+NQ-VIX,negative,-0.20135772682495234,0.20135772682495234,0.44260337845358655,none,nq,NASDAQ-100 only,negative,-0.23814518996299539,0.23814518996299539,0.2924416349639114,none,-0.03678746313804304,0.3320542154219178,0.5334119422468702,0.27401302670279115,0.5121582166657865,2,0.23814518996299539
tff,TFF Detailed,Non-reportable,non_reportable,NASDAQ-100,1w,tie,Combined SP+NQ-VIX,negative,-0.20135772682495234,0.20135772682495234,0.44260337845358655,none,nq,NASDAQ-100 only,negative,-0.23814518996299539,0.23814518996299539,0.2924416349639114,none,-0.03678746313804304,0.3320542154219178,0.5334119422468702,0.27401302670279115,0.5121582166657865,2,0.23814518996299539
tff,TFF Detailed,Other Reportables,other_reportable,NASDAQ-100,4w,tie,Combined SP+NQ-VIX,negative,-0.01187060743000612,0.01187060743000612,0.9896026523876085,none,sp500,S&P 500 only,negative,-0.21665572026487756,0.21665572026487756,0.8224305805501015,none,-0.20478511283487144,1.5639441597671018,1.575814767197108,1.4003984239485712,1.6170541442134487,2,0.21665572026487756
legacy,Legacy,Nonreportable,nonreportable,S&P 500,1w,tie,Combined SP+NQ-VIX,negative,-0.12802143056425314,0.12802143056425314,0.5341993003164757,none,nq,NASDAQ-100 only,negative,-0.1977504158237884,0.1977504158237884,0.2642151900444006,none,-0.06972898525953528,0.22432834803650026,0.3523497786007534,0.16343656650794694,0.36118698233173535,2,0.1977504158237884
tff,TFF Detailed,Non-reportable,non_reportable,S&P 500,1w,tie,Combined SP+NQ-VIX,negative,-0.12802143056425314,0.12802143056425314,0.5341993003164757,none,nq,NASDAQ-100 only,negative,-0.1977504158237884,0.1977504158237884,0.2642151900444006,none,-0.06972898525953528,0.22432834803650026,0.3523497786007534,0.16343656650794694,0.36118698233173535,2,0.1977504158237884
tff,TFF Detailed,Other Reportables,other_reportable,S&P 500,4w,tie,Combined SP+NQ-VIX,positive,0.17647200682902686,0.17647200682902686,0.7891950403838672,none,vix_inverse,"VIX only, inverted",positive,0.16104460704433854,0.16104460704433854,0.7683072189000835,none,0.015427399784688323,1.2089367537494653,1.0324647469204384,1.2031938392137562,1.0421492321694177,2,0.17647200682902686
