dataset,market,category,position_change_metric,horizon,bottom_quartile_threshold,top_quartile_threshold,top_quartile_n,top_quartile_mean_return,top_quartile_median_return,top_quartile_hit_rate,top_quartile_stdev,bottom_quartile_n,bottom_quartile_mean_return,bottom_quartile_median_return,bottom_quartile_hit_rate,bottom_quartile_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1d_post_release,-1.3222457616070995,0.9701802623290964,134,0.001587685125082734,0.0010071806452806031,0.5597014925373134,0.010577174818474073,135,-0.00038066253976129565,0.0011706865481149187,0.6074074074074074,0.01675679696898079,0.0019683476648440297,1.1529098440096752,0.24894739114791975
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2d_post_release,-1.3222457616070995,0.9701802623290964,134,0.0018957616716394927,0.002954436226226931,0.5746268656716418,0.013266445297063365,135,0.0018688343652000902,0.0029516318244013906,0.6222222222222222,0.016280842971047624,2.692730643940244e-05,0.014875210312798611,0.9881317370398164
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,3d_post_release,-1.3222457616070995,0.9701802623290964,134,0.003415665976320017,0.004155564698605008,0.664179104477612,0.016910114909014437,135,0.002713073942083091,0.00326431408378558,0.5703703703703704,0.023342902291898837,0.0007025920342369259,0.28284831083898526,0.7772931190920606
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1w_post_release,-1.3222457616070995,0.9701802623290964,134,0.005396201039828779,0.005026619938788057,0.5895522388059702,0.023184269733928314,135,0.0011812728228799369,0.0036248137320111784,0.5703703703703704,0.028856434896478596,0.004214928216948842,1.321081620283486,0.1864741507498798
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2w_post_release,-1.3222457616070995,0.9701802623290964,134,0.008345132855990402,0.008959299811250543,0.664179104477612,0.030981861202572004,134,0.002659775586766758,0.008523516037231671,0.6194029850746269,0.0370158019876636,0.005685357269223644,1.3634147123403932,0.17275184694022144
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,4w_post_release,-1.3222457616070995,0.9701802623290964,134,0.013664989806148957,0.016117335154041457,0.7089552238805971,0.042329246454679864,133,0.010445200115149001,0.01573793021623282,0.6541353383458647,0.05085093502089174,0.003219789690999956,0.5620829871365365,0.5740594790763662
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,13w_post_release,-1.3222457616070995,0.9701802623290964,132,0.040578446469972454,0.0461718921698967,0.7424242424242424,0.07560059258314204,132,0.037567684762555204,0.044827187150944026,0.7651515151515151,0.07635694649492272,0.0030107617074172505,0.32192204355650467,0.74751175307208
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1d_post_release,-1.4143841401119985,0.3159846958583259,134,0.0004468536176244756,0.0003570572238035252,0.5373134328358209,0.009088968942324286,135,0.00026980790062452483,0.0014558660603223306,0.5851851851851851,0.01650953588517123,0.00017704571699995075,0.10905738064647938,0.9131569785147204
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2d_post_release,-1.4143841401119985,0.3159846958583259,134,0.0003163602081229987,0.0009388786867973176,0.5298507462686567,0.011494820844294509,135,0.0030887766209313668,0.0037480363873110267,0.6518518518518519,0.015294256634928026,-0.002772416412808368,-1.6814107810381063,0.09268315288328903
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,3d_post_release,-1.4143841401119985,0.3159846958583259,134,0.001063724175004388,0.0022471868334019707,0.6044776119402985,0.015051324789119781,135,0.003145964230873921,0.00326431408378558,0.6,0.02300690865106862,-0.002082240055869533,-0.8790058984981924,0.37939807765232375
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1w_post_release,-1.4143841401119985,0.3159846958583259,134,0.0018418270496981899,0.0018727703392558137,0.5447761194029851,0.020997003207372425,135,0.0032303418196224887,0.0050754219764708175,0.6518518518518519,0.0285362431803746,-0.0013885147699242988,-0.45477227819377714,0.6492730759424743
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2w_post_release,-1.4143841401119985,0.3159846958583259,134,0.007004957587061837,0.0072983439814010564,0.6343283582089553,0.029542659182660313,134,0.0034310475831939714,0.0076842331108146755,0.6268656716417911,0.036317385418984105,0.0035739100038678653,0.883696953052678,0.37685982557981806
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,4w_post_release,-1.4143841401119985,0.3159846958583259,133,0.012570024535849168,0.016115974363903662,0.6917293233082706,0.04220036791415861,134,0.012272248000513153,0.015729282015763957,0.6567164179104478,0.05002978152652145,0.0002977765353360147,0.05258332712046941,0.9580639016208493
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,13w_post_release,-1.4143841401119985,0.3159846958583259,130,0.03613758159509904,0.04248337275747349,0.7307692307692307,0.07145619462903618,133,0.044923117006937456,0.04655124605732919,0.8120300751879699,0.07213520263705468,-0.008785535411838415,-0.992220055598698,0.321090191173412
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,1d_post_release,-0.9148579332507012,0.42850135683826096,135,-0.0001402801586839952,0.0010166708878267539,0.5925925925925926,0.016263125056623116,135,0.0011888352566904986,0.000876077054501545,0.5407407407407407,0.009693709640487982,-0.0013291154153744938,-0.8156632568688184,0.4146927593928089
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,2d_post_release,-0.9148579332507012,0.42850135683826096,135,0.0009089176528786356,0.0017585173130429954,0.562962962962963,0.015406254400463532,135,0.002918094974548151,0.0017721054624633137,0.5703703703703704,0.013421952638707036,-0.0020091773216695153,-1.1424998145656495,0.2532463230767488
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,3d_post_release,-0.9148579332507012,0.42850135683826096,135,0.0009355888180272722,0.003924591772373809,0.562962962962963,0.02258183966054847,135,0.0037591311567353584,0.0032182229018784536,0.6296296296296297,0.01620043054831373,-0.002823542338708086,-1.1804345229880968,0.23782743802047057
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,1w_post_release,-0.9148579332507012,0.42850135683826096,135,0.00011336127986402444,0.0019320868389702817,0.5407407407407407,0.028188613572957318,135,0.005020860345970066,0.005917169216022922,0.6592592592592592,0.02280431419931061,-0.004907499066106042,-1.5726227980949365,0.11580618554234373
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,2w_post_release,-0.9148579332507012,0.42850135683826096,135,0.004059255038052127,0.009265283753687514,0.6148148148148148,0.03781302601391371,134,0.006016734470483999,0.00847833898199013,0.6940298507462687,0.03221060013724164,-0.0019574794324318722,-0.45716035210304484,0.6475557936749041
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,4w_post_release,-0.9148579332507012,0.42850135683826096,132,0.013498962740997704,0.018969481983988512,0.7272727272727273,0.04788967468326959,134,0.01360417307703542,0.017682705516902875,0.7238805970149254,0.0484602074271844,-0.00010521033603771643,-0.0178093260248405,0.9857909648486828
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,13w_post_release,-0.9148579332507012,0.42850135683826096,128,0.03827280474411612,0.050134181464037364,0.7421875,0.08051511907059866,134,0.042417094974807744,0.046907117058721526,0.8059701492537313,0.07538461941576849,-0.0041442902306916204,-0.4296153243294704,0.66747548787438
tff_disaggregated,sp500,dealer,net_oi_pct_change,1d_post_release,-1.1196678343773705,1.1830545445513216,135,0.0002410532625446931,0.0013151152429682345,0.5407407407407407,0.017636200968828283,134,0.0008786767013907791,0.0010903215677496858,0.582089552238806,0.0101044814470918,-0.000637623438846086,-0.3641534715774191,0.7157434093471483
