dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1d_post_release,239,0.000960706470025838,0.0009963410653295313,0.5523012552301255,0.009768208490581007,297,8.415520830555116e-05,0.000969053663222974,0.569023569023569,0.013368470371504225,0.0008765512617202869,0.8761240638558986,0.3809625921326083
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2d_post_release,239,0.0009191736993323294,0.0015669219194434092,0.5564853556485355,0.012508973050102375,297,0.0018479891009795747,0.0017585173130429954,0.5892255892255892,0.014138454733001904,-0.0009288154016472453,-0.8060657479350216,0.42020493995366687
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,3d_post_release,239,0.0023270412907246945,0.00243913922381922,0.6192468619246861,0.01623584843148663,297,0.0021060844421426353,0.00132761714136298,0.5387205387205387,0.019144802218444064,0.00022095684858205924,0.14453588260740163,0.885077323693975
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1w_post_release,239,0.0035537094445930654,0.00487206115941774,0.606694560669456,0.02257628117942535,297,0.0022237184023162463,0.003226667520847215,0.5824915824915825,0.024270904014901253,0.0013299910422768192,0.6555569697116082,0.5121092196794664
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2w_post_release,239,0.00591739348606816,0.006901480066513699,0.6401673640167364,0.03113471624769809,296,0.00531391057291444,0.008738067791259074,0.6554054054054054,0.031582253508605884,0.00060348291315372,0.22146096025027995,0.8247335311146696
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,4w_post_release,238,0.009002284429814515,0.014547650404387324,0.6764705882352942,0.05030113279191634,294,0.012781348278039029,0.018639846993461218,0.6938775510204082,0.04271803114789329,-0.003779063848224514,-0.9209558063289627,0.3570735006456135
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,13w_post_release,235,0.033547604983310074,0.04204489495313091,0.7404255319148936,0.07335624102299912,288,0.03703584638731732,0.04663891830024236,0.7638888888888888,0.06884326590994305,-0.0034882414040072474,-0.556042855956564,0.5781815581164715
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1d_post_release,183,0.0005741748403587955,0.0008515744450250384,0.5519125683060109,0.009255560009341305,353,0.00042359475189026745,0.0010166708878267539,0.56657223796034,0.013068581546794269,0.000150580088468528,0.1543348059837124,0.8773457548678488
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2d_post_release,183,0.0006154883588117603,0.001387445223387962,0.5519125683060109,0.01194127674566155,353,0.0018580762251241027,0.0017585173130429954,0.5864022662889519,0.014140742707761294,-0.0012425878663123425,-1.0711712357447993,0.2840924425596662
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,3d_post_release,183,0.001238630652053441,0.0022621757258103337,0.5901639344262295,0.015534315172331815,353,0.0027053839616821103,0.0016836319125601573,0.56657223796034,0.018998823485124453,-0.0014667533096286692,-0.9586014520186497,0.33775956079837544
