market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,3d,score_sign,Positive,111,0.183729,0.226218,54.954955,-0.949818,-11.98405,2.275811,0.080731,0.242886,-0.059157,-0.332185,0.739749
sp500,S&P 500,3d,score_intensity,Mild Negative,114,0.172902,0.239988,57.017544,-0.6638,-3.862874,1.493572,0.115764,0.242886,-0.069984,-0.51879,0.603907
sp500,S&P 500,3d,score_intensity,Zero,188,0.279139,0.223642,59.042553,-0.724558,-7.77124,2.001182,0.139487,0.242886,0.036253,0.334245,0.738195
sp500,S&P 500,3d,score_intensity,Caution,15,-0.146486,0.043105,53.333333,-1.403767,-4.035003,2.017355,-0.072613,0.242886,-0.389372,-0.761475,0.446373
sp500,S&P 500,3d,score_intensity,Extreme Negative,6,2.504497,2.665465,100.0,-0.207744,-0.655962,1.444167,1.734215,0.242886,2.261611,3.840769,0.000123
sp500,S&P 500,3d,score_intensity,Risk-On,59,0.082369,0.116,52.542373,-0.760412,-3.623887,1.438242,0.057271,0.242886,-0.160517,-0.865082,0.386994
sp500,S&P 500,3d,score_intensity,Mild Positive,18,-0.479358,0.142758,55.555556,-1.380716,-11.98405,3.055216,-0.156898,0.242886,-0.722244,-1.037666,0.299425
sp500,S&P 500,3d,score_intensity,Extreme Positive,34,0.710666,0.662242,58.823529,-1.050372,-4.800735,2.876787,0.247035,0.242886,0.46778,1.010796,0.312114
sp500,S&P 500,1w,regime,Mixed,320,0.258417,0.431196,59.0625,-1.130038,-16.543364,2.514179,0.102784,0.27482,-0.016403,-0.222009,0.824307
sp500,S&P 500,1w,regime,Caution,21,0.040484,0.02349,57.142857,-1.342561,-5.447797,2.39625,0.016895,0.27482,-0.234337,-0.457994,0.646956
sp500,S&P 500,1w,regime,Risk-On,93,0.384177,0.360749,54.83871,-1.271626,-6.00608,2.65382,0.144764,0.27482,0.109357,0.453672,0.650065
sp500,S&P 500,1w,score_sign,Negative,135,0.207798,0.22481,59.259259,-1.05792,-5.681289,1.919446,0.108259,0.27482,-0.067022,-0.42274,0.672485
sp500,S&P 500,1w,score_sign,Zero,188,0.38843,0.562738,60.106383,-1.140196,-16.543364,2.676758,0.145112,0.27482,0.11361,0.805211,0.420698
sp500,S&P 500,1w,score_sign,Positive,111,0.163914,0.321328,53.153153,-1.35938,-14.979602,2.928857,0.055965,0.27482,-0.110906,-0.483649,0.628635
sp500,S&P 500,1w,score_intensity,Mild Negative,114,0.238619,0.234774,59.649123,-1.005486,-5.681289,1.829348,0.130439,0.27482,-0.036201,-0.213475,0.830956
sp500,S&P 500,1w,score_intensity,Zero,188,0.38843,0.562738,60.106383,-1.140196,-16.543364,2.676758,0.145112,0.27482,0.11361,0.805211,0.420698
sp500,S&P 500,1w,score_intensity,Caution,15,-0.609645,-1.272165,46.666667,-1.731491,-5.447797,2.268721,-0.268718,0.27482,-0.884466,-1.529987,0.12602
sp500,S&P 500,1w,score_intensity,Extreme Negative,6,1.665806,1.838906,83.333333,-0.370237,-0.974955,2.02933,0.820865,0.27482,1.390986,1.684162,0.09215
sp500,S&P 500,1w,score_intensity,Risk-On,59,0.267314,0.394604,57.627119,-1.086129,-4.644122,2.030445,0.131653,0.27482,-0.007506,-0.029284,0.976638
sp500,S&P 500,1w,score_intensity,Mild Positive,18,-0.974112,-0.271424,44.444444,-1.812776,-14.979602,3.969329,-0.24541,0.27482,-1.248933,-1.381381,0.167162
sp500,S&P 500,1w,score_intensity,Extreme Positive,34,0.586969,0.15823,50.0,-1.593518,-6.00608,3.510214,0.167217,0.27482,0.312148,0.551406,0.581355
sp500,S&P 500,2w,regime,Mixed,319,0.539855,0.877203,63.636364,-1.811776,-22.455145,3.392403,0.159136,0.543225,-0.00337,-0.035261,0.971872
sp500,S&P 500,2w,regime,Caution,21,-0.329933,0.485116,57.142857,-2.273612,-6.369639,2.743189,-0.120274,0.543225,-0.873158,-1.476567,0.139792
sp500,S&P 500,2w,regime,Risk-On,93,0.75195,0.84482,64.516129,-1.795434,-9.19835,3.398246,0.221276,0.543225,0.208725,0.670095,0.502797
sp500,S&P 500,2w,score_sign,Negative,135,0.336569,0.576334,57.777778,-1.691988,-10.471526,2.722146,0.123641,0.543225,-0.206656,-0.955032,0.339562
sp500,S&P 500,2w,score_sign,Zero,187,0.584785,0.978313,67.379679,-1.893925,-22.455145,3.787214,0.15441,0.543225,0.04156,0.217033,0.828183
sp500,S&P 500,2w,score_sign,Positive,111,0.724548,0.853856,63.963964,-1.89275,-17.470177,3.333272,0.217369,0.543225,0.181323,0.662247,0.507813
sp500,S&P 500,2w,score_intensity,Mild Negative,114,0.459345,0.631053,57.894737,-1.584847,-10.471526,2.712478,0.169345,0.543225,-0.08388,-0.352096,0.724766
sp500,S&P 500,2w,score_intensity,Zero,187,0.584785,0.978313,67.379679,-1.893925,-22.455145,3.787214,0.15441,0.543225,0.04156,0.217033,0.828183
sp500,S&P 500,2w,score_intensity,Caution,15,-0.196937,0.625065,60.0,-2.374726,-5.447797,2.534368,-0.077706,0.543225,-0.740162,-1.135784,0.256047
sp500,S&P 500,2w,score_intensity,Extreme Negative,6,-0.662424,-0.051032,50.0,-2.020825,-6.369639,3.454007,-0.191784,0.543225,-1.205649,-0.861304,0.389071
sp500,S&P 500,2w,score_intensity,Risk-On,59,0.570462,0.670188,66.101695,-1.529676,-5.386939,2.472035,0.230766,0.543225,0.027237,0.085473,0.931885
sp500,S&P 500,2w,score_intensity,Mild Positive,18,0.582975,0.900448,61.111111,-2.395552,-17.470177,3.061369,0.190429,0.543225,0.03975,0.056014,0.95533
